title,description,category,vibe
Прогулка с кофе,Купить кофе навынос и гулять по городу,Город,Легкое
Пикник в парке,Плед и легкие закуски на траве,Природа,Романтичное
Фильм дома,Выбрать фильм и устроить уютный вечер,Дом,Уютное
Кинотеатр,Сходить на новый фильм в кино,Культура,Спокойное
Вечерняя набережная,Прогуляться у воды вечером,Природа,Романтичное
Бранч в кафе,Поздний завтрак в красивом месте,Еда,Легкое
Мороженое и прогулка,Гулять по городу с мороженым,Город,Игривое
Прогулка без маршрута,Идти куда захочется и исследовать город,Город,Спонтанное
Фотопрогулка,Найти красивые места и сделать фотографии,Город,Творческое
Кофейный тур,Попробовать кофе в нескольких кофейнях,Еда,Любопытное
Посещение музея,Пройтись по интересной выставке,Культура,Вдумчивое
Художественная галерея,Посмотреть современное искусство,Культура,Творческое
Настольные игры,Поиграть в настольные игры вместе,Игры,Игривое
Кулинарный вечер,Приготовить новое блюдо вдвоем,Дом,Уютное
Дегустация кофе,Попробовать разные сорта кофе,Еда,Любопытное
Дегустация вина,Открыть несколько новых вкусов вина,Еда,Романтичное
Поход на концерт,Послушать живую музыку,Культура,Энергичное
Поход в театр,Посмотреть спектакль,Культура,Вдумчивое
Планетарий,Посмотреть звезды и космос,Культура,Мечтательное
Кино под открытым небом,Фильм на улице вечером,Культура,Романтичное
Катание на велосипедах,Прокатиться по парку или набережной,Активность,Энергичное
Катание на роликах,Покататься в парке,Активность,Игривое
Йога вместе,Легкая тренировка или растяжка,Активность,Спокойное
Бассейн или спа,Отдохнуть и расслабиться,Релакс,Расслабленное
Каток,Катание на коньках,Активность,Игривое
Боулинг,Небольшое соревнование,Игры,Соревновательное
Бильярд,Спокойная игра в бильярд,Игры,Спокойное
Мини-гольф,Игра на поле для мини-гольфа,Игры,Игривое
Лазертаг,Активная игра вместе,Активность,Энергичное
Квест-комната,Разгадать загадки вместе,Игры,Азартное
Смотровая площадка,Посмотреть на город сверху,Город,Романтичное
Закат в красивом месте,Найти точку для заката,Природа,Романтичное
Ночной город,Прогулка по вечернему городу,Город,Атмосферное
Ужин с видом,Ресторан с красивым видом,Еда,Романтичное
Наблюдение за звездами,Уехать подальше от города,Природа,Мечтательное
Поездка без цели,Просто кататься на машине,Путешествие,Спонтанное
Десертный вечер,Попробовать необычные десерты,Еда,Уютное
Кондитерская,Выбрать сладости вместе,Еда,Легкое
Чайная церемония,Попробовать разные виды чая,Еда,Спокойное
Фермерский рынок,Погулять по рынку еды,Еда,Любопытное
Прогулка в лесу,Пройтись по экотропе,Природа,Спокойное
Поездка к озеру,Небольшое путешествие к воде,Путешествие,Романтичное
Термос и природа,Чай и разговоры на природе,Природа,Уютное
Фотосессия,Сделать красивые фото,Творчество,Творческое
Сбор ягод,Поехать на ферму,Природа,Легкое
Парк скульптур,Посмотреть необычные скульптуры,Культура,Любопытное
Катание на лошадях,Прогулка верхом,Активность,Романтичное
